tweet,statu
"Sema Retweeted
mecnun
@mecnunlan
·
Dec 30 2021
-Aşabildin mi o sahneyi?
-hangi sahneyi?
28
563
15K",
"Sema
@lillafepike
·
Dec 31 2021
Yeni yıla hastalıktan bayılmış olarak gireceğim yüksek ihtimal
4",
"Sema Retweeted
ilker
@theilkerjk
·
Dec 30 2021
yılbaşı gecesi ne içeceksiniz arkadaşlar ben kimseye güvenmemeye and içicem
233
5.4K
52.8K
Show this thread",
"Sema Retweeted
@slayingflowers
·
Dec 29 2021
modern family dizisinde “neden kendimizden bu kadar farklı partnerler seciyoruz? kader veya sans degil. onları secmemizin sebebi cocuklugumuzda tamamlanmamıs seyleri temsil etmeleri. cünkü sahip olmayı istedigimiz özellikleri barındırırlar” diye bi cümle gecti. o kadar dogru ki
65
1.5K
27K
Show this thread",
"Sema Retweeted
Eda
@edaakkaa
·
Dec 23 2021
Sürekli şaka yaptığım için kimseyle flörtleleşemiyorum karşıdaki ne yazsa şaka yapasım geliyor gevşek gibiisjsksz
2
1
20",
"Sema Retweeted
sedaözkan
@sedatoprakci
·
Dec 28 2021
Kız babası 
352
2.5K
158.5K",
"Sema Retweeted
Ceyda
@_falanfilann_
·
Dec 28 2021
Gözden uzak olan gönülden ırak olmuyormuş
2
10",
"Sema Retweeted
Hediye
@Hediyeyyy
·
Dec 27 2021
Ağladıktan sonra aynaya karşı
Quote Tweet
Ömerr
@sbzomer
 · Dec 26 2021
İyisin kızım iyisin hiçbir şeyin yok turp gibisin aslan gibisin sen...
1
1
12",
